id,filename,title,author,year
1,poem01.txt,Неспетая баллада Лютика,Тэм Гринхилл,2001
2,poem02.txt,Покажите мне дорогу домой,Тэм Гринхилл,2003
3,poem03.txt,Посвящение Каэр Морхену,Тэм Гринхилл,2001
4,poem04.txt,Защитникам Шаэрраведда,Тэм Гринхилл,2001
5,poem05.txt,Нильфгаардец,Тэм Гринхилл,1997
6,poem06.txt,"Кто даст ответ, если боги молчат…",Тэм Гринхилл,2001
7,poem07.txt,Бесконечный спор с судьбой,Тэм Гринхилл,1997
8,poem08.txt,Когда я вернусь домой,Тэм Гринхилл,2001
9,poem09.txt,Ведьмак,Fun mode,2022
10,poem10.txt,Ведьмак,Пророчество Вельвы,2013
11,poem11.txt,Битва при Бренне ,Рамазан Афанасьев,2017
12,poem12.txt,Письмо Ведьмаку,Эпидемия,2021
13,poem13.txt,Баллада о Фаоильтиарне скоя'таэле,Барда,2016
14,poem14.txt,Не вспоминай,Яна Айнсанова,2016
15,poem15.txt,Черное и белое,Яна Айнсанова,2016
16,poem16.txt,Брокилон,Яна Айнсанова,2016
17,poem17.txt,Балкон,Яна Айнсанова,2016
18,poem18.txt,Кто влюблен в эту жизнь,Яна Айнсанова,2016
19,poem19.txt,Самый прекрасный,Яна Айнсанова,2016
20,poem20.txt,Диалог девочки и единорога,Яна Айнсанова,2016
21,poem21.txt,"Что-то кончится, что-то начнется",Яна Айнсанова,2016
22,poem22.txt,Меч предназначения,Яна Айнсанова,2016
23,poem23.txt,Вечность,Яна Айнсанова,2016
24,poem24.txt,Мысли в сердце,Яна Айнсанова,2016
25,poem25.txt,Баллада о проклятой принцессе,Яна Айнсанова,2017
26,poem26.txt,Преданная мечта,Яна Айнсанова,2017
27,poem27.txt,Баллада “Рожденная весной”,Яна Айнсанова =,2017
28,poem28.txt,Все двери открыты ,Яна Айнсанова,2017
29,poem29.txt,Старшая кровь,Яна Айнсанова,2017
30,poem30.txt,Рассерженные девы,Яна Айнсанова,2018
31,poem31.txt,Дорога ведьмака,Яна Айнсанова,2019
32,poem32.txt,Последнее желание ,Яна Айнсанова,2018
33,poem33.txt,Дай наглядеться,Яна Айнсанова,2019
34,poem34.txt,Должна быть истинной любовь,Яна Айнсанова,2019
35,poem35.txt,Что тебе рассказать?,Яна Айнсанова,2019
36,poem36.txt,Ласточка,Яна Айнсанова,2020
37,poem37.txt,Не прощай меня,Полина Прокопьева,2020
38,poem38.txt,Под черным крылом,Яна Айнсанова,2020
39,poem39.txt,Воин,Яна Айнсанова,2021
40,poem40.txt,Путь без возврата,Яна Айнсанова,2023
41,poem41.txt,Дитя предназначения,Яна Айнсанова,2024
42,poem42.txt,Был судьей я их грехам,Яна Айнсанова,2024
43,poem43.txt,Сопряжение сфер,Ясвена,2014
44,poem44.txt,Йеннифэр,Династия,2018
45,poem45.txt,Белоголовый ведьмак,Wallace band,2015
46,poem46.txt,Ведьмачья похоронная,Wallace band,2018
47,poem47.txt,Кровь эльфов,Holy dragons,2003
48,poem48.txt,Меч предназначения,Holy dragons,2002
49,poem49.txt,Крысы,Мастер и Margenta,2006
50,poem50.txt,Остров яблонь,Elenor,2024
51,poem51.txt,Последнее древо,Диана Аписарова,2017
