filename,author,year,title,words_count,unique_lemmas,ttr,lexical_density,longest_word,lines_count
poem01.txt,Тэм Гринхилл,2001,Неспетая баллада Лютика,231,137,0.645,0.5931,сумасшедший,31
poem02.txt,Тэм Гринхилл,2003,Покажите мне дорогу домой,123,75,0.7236,0.6098,захотелось,26
poem03.txt,Тэм Гринхилл,2001,Посвящение Каэр Морхену,162,86,0.5802,0.5309,равновесием,29
poem04.txt,Тэм Гринхилл,2001,Защитникам Шаэрраведда,199,124,0.7136,0.6231,пеpепуганной,40
poem05.txt,Тэм Гринхилл,1997,Нильфгаардец,180,115,0.7,0.6389,предательства,24
poem06.txt,Тэм Гринхилл,2001,"Кто даст ответ если боги молчат",226,146,0.7257,0.646,предсмертный,42
poem07.txt,Тэм Гринхилл,1997,Бесконечный спор с судьбой,120,75,0.6667,0.625,бесконечный,35
poem08.txt,Тэм Гринхилл,2001,Когда я вернусь домой,102,70,0.7353,0.6863,здравствуй,26
poem09.txt,Fun mode,2022,Ведьмак,191,111,0.6283,0.5812,переписали,42
poem10.txt,Пророчество Вельвы,2013,Ведьмак,170,102,0.6471,0.6,заколдованных,39
poem11.txt,Рамазан Афанасьев,2017,Битва при Бренне ,228,165,0.7851,0.7237,краснолюдская,59
poem12.txt,Эпидемия,2021,Письмо Ведьмаку,114,64,0.6228,0.5614,предназначенье,30
poem13.txt,Барда,2016,Баллада о Фаоильтиарне скоя'таэле,320,195,0.7219,0.6094,фаоильтиарна,76
poem14.txt,Яна Айнсанова ,2016,Не вспоминай,120,68,0.5917,0.5667,предназначенье,23
poem15.txt,Яна Айнсанова ,2016,Черное и белое,164,91,0.6098,0.5549,белоголовый,24
poem16.txt,Яна Айнсанова ,2016,Брокилон,110,76,0.7273,0.6909,рассветных,24
poem17.txt,Яна Айнсанова ,2016,Балкон,83,62,0.7831,0.747,расфуфыренный,12
poem18.txt,Яна Айнсанова ,2016,Кто влюблен в эту жизнь,121,70,0.6033,0.5785,кувшинчик,30
poem19.txt,Яна Айнсанова ,2016,Самый прекрасный,53,37,0.717,0.6981,компании,11
poem20.txt,Яна Айнсанова ,2016,Диалог девочки и единорога,251,149,0.6534,0.5936,потрескавшиеся,47
poem21.txt,Яна Айнсанова ,2016,'Что-то кончится что-то начнется',83,51,0.6265,0.6145,сорвавшаяся,19
poem22.txt,Яна Айнсанова ,2016,Меч предназначения,83,69,0.8434,0.8313,изувеченный,21
poem23.txt,Яна Айнсанова ,2016,Вечность,128,81,0.6875,0.6328,благословенье,37
poem24.txt,Яна Айнсанова ,2016,Мысли в сердце,118,67,0.5847,0.5678,счастливых,37
poem25.txt,Яна Айнсанова ,2017,Баллада о проклятой принцессе,535,315,0.6841,0.5888,окровавленных,160
poem26.txt,Яна Айнсанова ,2017,Преданная мечта,115,93,0.8348,0.8087,предназначенья,27
poem27.txt,Яна Айнсанова ,2017,Баллада Рожденная весной,225,132,0.6533,0.5867,одиночество,63
poem28.txt,Яна Айнсанова ,2017,Все двери открыты ,170,97,0.6,0.5706,подстерегает,38
poem29.txt,Яна Айнсанова ,2017,Старшая кровь,173,114,0.6763,0.659,надменность,34
poem30.txt,Яна Айнсанова ,2018,Рассерженные девы,195,91,0.4872,0.4667,первоцвета,48
poem31.txt,Яна Айнсанова ,2019,Дорога ведьмака,200,155,0.835,0.775,двухцветной,42
poem32.txt,Яна Айнсанова ,2018,Последнее желание,122,59,0.5656,0.4836,наказанием,28
poem33.txt,Яна Айнсанова ,2019,Дай наглядеться,167,111,0.7365,0.6647,предназначен,38
poem34.txt,Яна Айнсанова ,2019,Должна быть истинной любовь,178,89,0.5337,0.5,благословением,37
poem35.txt,Яна Айнсанова ,2019,Что тебе рассказать?,148,93,0.6824,0.6284,недоступный,50
poem36.txt,Яна Айнсанова ,2020,Ласточка,154,88,0.6169,0.5714,крыжовником,36
poem37.txt,Полина Прокопьева,2020,Не прощай меня,93,74,0.8495,0.7957,предназначенья,20
poem38.txt,Яна Айнсанова ,2020,Под черным крылом,108,65,0.6296,0.6019,прячется,29
poem39.txt,Яна Айнсанова ,2021,Воин,224,172,0.817,0.7679,деревенской,64
poem40.txt,Яна Айнсанова ,2023,Путь без возврата,183,93,0.5628,0.5082,солнечный,41
poem41.txt,Яна Айнсанова ,2024,Дитя предназначения,207,123,0.6087,0.5942,предместья,66
poem42.txt,Яна Айнсанова ,2024,Был судьей я их грехам,149,80,0.5839,0.5369,позволишь,27
poem43.txt,Ясвена,2014,Сопряжение сфер,180,107,0.6222,0.5944,переступившие,34
poem44.txt,Династия,2018,Йеннифэр,167,85,0.5629,0.509,предназначением,33
poem45.txt,Wallace band,2015,Белоголовый ведьмак,118,92,0.8136,0.7797,полуприкрыты,35
poem46.txt,Wallace band,2018,Ведьмачья похоронная,209,137,0.7464,0.6555,присоседятся,49
poem47.txt,Holy dragons,2003,Кровь эльфов,206,126,0.7136,0.6117,предназначение,65
poem48.txt,Holy dragons,2002,Меч предназначения,192,88,0.5104,0.4583,предназначеньем,66
poem49.txt,Мастер и Margenta,2006,Крысы,213,84,0.4085,0.3944,непрерывность,66
poem50.txt,Elenor,2024,Остров яблонь,101,82,0.8416,0.8119,предназначенным,25
poem51.txt,Диана Аписарова,2017,Последнее древо,136,83,0.6765,0.6103,неприкосновенны,35
